latitude,longitude,acq_date,acq_time,bright_ti4,frp,is_fire
46.18814,-66.50889,1870,1745,0.0,0.0,0
50.18652,-102.71651,1840,2030,0.0,0.0,0
69.72111,-68.67213,1887,1102,0.0,0.0,0
57.90669,-66.52785,197,1712,0.0,0.0,0
59.10148,-127.4919,1292,1016,304.92,1.21,1
50.35272,-121.06085,14,1119,0.0,0.0,0
64.03098,-135.8569,1505,1021,298.45,0.98,1
45.82278,-73.26863,913,703,298.8,0.94,1
69.65139,-121.80558,1826,1075,0.0,0.0,0
53.15648,-112.99727,1948,2007,0.0,0.0,0
46.51487,-84.39539,1917,1805,331.66,5.75,1
69.59388,-103.24515,167,1634,0.0,0.0,0
46.03315,-65.05501,2054,1657,0.0,0.0,0
45.89524,-67.12587,1870,1745,0.0,0.0,0
51.06868,-115.13524,30,939,305.78,0.97,1
52.10812,-108.03001,153,2102,0.0,0.0,0
49.4537,-99.85666,1170,1812,0.0,0.0,0
55.66001,-108.07619,1583,919,0.0,0.0,0
46.04507,-73.14079,805,1712,326.54,1.48,1
64.34132,-133.56479,791,2143,367.0,20.2,1
53.26251,-109.94553,791,828,296.38,1.27,1
52.85949,-108.14673,944,1851,349.23,12.57,1
50.0577,-110.73022,774,1029,308.21,1.54,1
53.40502,-106.78251,122,2043,344.32,4.12,1
45.11368,-73.01239,1856,722,297.26,1.05,1
53.18301,-122.52464,197,1048,309.97,1.78,1
43.54186,-79.27788,927,1725,0.0,0.0,0
43.66573,-79.16434,1278,619,0.0,0.0,0
50.99658,-102.58447,1948,838,304.27,1.35,1
80.94202,-74.28753,167,1634,0.0,0.0,0
46.99336,-80.37392,136,630,0.0,0.0,0
42.80703,-80.09687,1262,1744,353.37,8.92,1
62.1398,-112.58439,1993,1113,306.15,3.28,1
44.05275,-77.12045,167,650,297.61,1.18,1
46.20827,-66.21419,379,1658,0.0,0.0,0
60.19839,-126.76203,1156,2100,0.0,0.0,0
50.80737,-105.42503,1156,747,0.0,0.0,0
54.1814,-113.30442,1262,939,0.0,0.0,0
80.10205,-91.2545,774,1833,0.0,0.0,0
50.84704,-79.85793,1200,901,367.0,19.52,1
44.48858,-80.65171,1109,1715,335.65,3.45,1
51.39941,-99.26202,30,757,307.62,1.42,1
54.51329,-104.12774,1170,1954,0.0,0.0,0
57.47543,-110.96547,1826,1003,0.0,0.0,0
68.92795,-130.75808,1917,1808,0.0,0.0,0
52.10766,-105.30791,61,1945,335.31,2.41,1
51.89052,-102.59712,1323,2024,0.0,0.0,0
51.03395,-100.71764,14,1926,342.51,12.08,1
52.98215,-108.48631,2023,1013,0.0,0.0,0
46.33035,-73.67182,1644,655,0.0,0.0,0
55.07118,-110.53201,122,913,300.45,1.15,1
50.48128,-96.27603,805,726,0.0,0.0,0
61.81868,-120.93974,1979,1035,367.0,5.01,1
59.63025,-110.08908,897,2014,0.0,0.0,0
47.11248,-84.20079,61,817,0.0,0.0,0
63.4803,-126.00778,1475,1750,0.0,0.0,0
63.69104,-136.91805,821,2041,367.0,133.77,1
46.51682,-84.39349,1491,806,314.57,2.58,1
58.25744,-73.74262,897,1024,0.0,0.0,0
46.04375,-73.14219,0,720,311.25,2.15,1
43.50054,-79.09032,1931,1842,0.0,0.0,0
49.43096,-104.72003,501,908,0.0,0.0,0
52.45803,-101.57012,835,1933,0.0,0.0,0
54.21507,-107.65118,1931,856,0.0,0.0,0
