latitude,longitude,acq_date,acq_time,bright_ti4,frp,is_fire
53.89228,-106.4723,2022-06-01,828,0.0,0.0,0
49.04156,-124.33115,2020-08-01,914,367.0,21.18,1
64.12974,-118.43186,2025-08-15,1908,367.0,93.68,1
49.01367,-90.59846,2025-11-15,1839,0.0,0.0,0
42.09889,-81.64798,2023-11-01,639,0.0,0.0,0
44.49538,-76.96208,2020-07-15,612,0.0,0.0,0
54.06914,-103.0957,2023-07-01,1814,0.0,0.0,0
54.18036,-116.22102,2021-06-15,951,333.96,5.33,1
75.51249,-82.78641,2021-06-15,951,0.0,0.0,0
46.88732,-66.28766,2020-08-15,1756,0.0,0.0,0
51.45184,-122.46535,2022-09-15,1024,0.0,0.0,0
53.38086,-103.90561,2022-09-15,1832,0.0,0.0,0
57.07428,-123.39415,2022-09-15,1023,0.0,0.0,0
51.53821,-120.92637,2024-08-15,2127,0.0,0.0,0
44.26762,-76.37901,2020-04-15,758,0.0,0.0,0
49.91427,-125.52122,2025-11-01,2124,330.6,4.74,1
50.30093,-106.29754,2020-04-15,2107,0.0,0.0,0
60.42827,-105.28146,2023-06-15,1812,0.0,0.0,0
46.18814,-66.50889,2025-05-15,1745,0.0,0.0,0
50.18652,-102.71651,2025-04-15,2030,0.0,0.0,0
69.72111,-68.67213,2025-06-01,1102,0.0,0.0,0
57.90669,-66.52785,2020-10-15,1712,0.0,0.0,0
59.10148,-127.4919,2023-10-15,1016,304.92,1.21,1
50.35272,-121.06085,2020-04-15,1119,0.0,0.0,0
64.03098,-135.8569,2024-05-15,1021,298.45,0.98,1
45.82278,-73.26863,2022-10-01,703,298.8,0.94,1
69.65139,-121.80558,2025-04-01,1075,0.0,0.0,0
53.15648,-112.99727,2025-08-01,2007,0.0,0.0,0
46.51487,-84.39539,2025-07-01,1805,331.66,5.75,1
69.59388,-103.24515,2020-09-15,1634,0.0,0.0,0
46.03315,-65.05501,2025-11-15,1657,0.0,0.0,0
